NAME,CODE,MARKET_TYPE
GS건설,006360,KOSPI
현대건설,000720,KOSPI
상지카일룸,042940,KOSDAQ
금호산업,002990,KOSPI
동부건설,005960,KOSPI
HDC,012630,KOSPI
태영건설,009410,KOSPI
일진파워,094820,KOSDAQ
계룡건설,013580,KOSPI
대림건설,001880,KOSPI
