DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,300000,306000,296000,296500,797622
20200730,299500,311000,287000,300000,2723830
20200729,314500,317000,298000,301500,1903406
20200728,323500,324000,316000,317500,666062
20200727,320000,321000,316500,317000,507367
20200724,317500,328000,317000,319000,789309
20200723,321500,326000,317000,322000,707386
20200722,322500,323000,315000,321500,748686
20200721,326500,331000,318000,321500,1217900
20200720,336500,339500,322500,323000,1391199
20200717,318000,330000,315000,328000,1241089
20200716,313500,321500,310500,315000,734412
20200715,325000,326500,314000,316000,972746
20200714,327000,331500,322000,324000,842821
20200713,326500,329500,321000,329000,775224
20200710,328500,331500,316500,324500,1042448
20200709,322500,328000,317500,324000,1637528
20200708,312500,316000,308500,311500,709785
20200707,305500,316000,303000,308500,1003857
20200706,308500,313000,304500,305500,759792
20200703,311500,312000,300500,309500,760954
20200702,298000,311500,298000,308500,1134489
20200701,308000,309000,296000,297500,1012051
20200630,312000,314500,299000,306000,1517136
20200629,316500,326000,311000,311000,1323237
20200626,320000,321000,307500,312500,927851
20200625,315500,323000,314500,316000,918369
20200624,323500,331000,315500,319000,1956218
20200623,305500,329000,302500,318500,4485322
20200622,291500,300000,289500,297000,1166332
20200619,289000,292500,281000,291500,1087788
20200618,290500,294500,286000,287500,784181
20200617,294000,298000,280500,289500,1647069
20200616,283000,297000,282500,293500,2041007
20200615,298000,301000,268500,274000,3141867
20200612,280000,303500,279000,297500,3865779
20200611,280000,299500,274500,288000,3934710
20200610,263500,270000,261500,268500,1067682
20200609,257000,264500,255000,263500,1345656
20200608,260500,263000,253000,256000,1267019
20200605,244000,260500,243000,256500,2899453
20200604,227500,248000,227000,247000,3037387
20200603,231500,235000,224500,227500,1813508
20200602,230000,232500,222000,224500,1115810
20200601,214000,232500,213000,227500,3410255
20200529,212000,214000,209500,213500,660343
20200528,212500,213500,206000,211000,716459
20200527,212000,214000,211000,213000,591712
20200526,215500,216500,213000,214500,482616
20200525,216000,216000,213500,215000,371033
20200522,220000,221000,213000,216000,637408
20200521,218500,220000,215500,218500,530139
20200520,214500,219000,213500,218500,661979
20200519,213000,214500,209000,213000,709054
20200518,220000,222000,212000,213000,988984
20200515,219000,221500,215000,217500,827539
20200514,215000,217000,212000,217000,959332
20200513,211000,215000,210000,215000,763378
20200512,212000,217500,210500,211000,982920
20200511,215000,215500,210000,210500,695048
20200508,206000,214000,205000,210500,895729
20200507,206000,207000,203500,204000,402708
20200506,204500,208000,200500,207000,603987
