DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200803,578000,650000,577000,635000,1715295
20200804,652000,665000,635000,642000,894736
20200805,640000,681000,637000,670000,917661
20200806,672000,688000,659000,680000,634951
20200807,680000,758000,680000,746000,1399982
20200810,747000,748000,716000,720000,1035305
20200811,715000,771000,708000,758000,1087515
20200812,746000,764000,740000,741000,673527
20200813,758000,776000,722000,737000,970866
20200814,716000,724000,695000,700000,1160403
20200818,689000,722000,673000,690000,1051815
20200819,708000,710000,677000,683000,746732
20200820,681000,697000,662000,667000,841507
20200821,676000,709000,676000,699000,1078744
20200824,695000,708000,687000,702000,574924
20200825,712000,714000,703000,713000,450237
20200826,718000,768000,716000,757000,1094918
20200827,774000,785000,759000,762000,1028000
