DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200803,1366000,1377000,1348000,1350000,39951
20200804,1350000,1368000,1343000,1354000,27230
20200805,1358000,1399000,1358000,1364000,38836
20200806,1385000,1390000,1367000,1385000,26783
20200807,1395000,1432000,1388000,1432000,65788
20200810,1411000,1446000,1405000,1445000,36558
20200811,1455000,1600000,1452000,1573000,93232
20200812,1569000,1596000,1541000,1548000,34961
20200813,1548000,1600000,1525000,1560000,43833
20200814,1572000,1593000,1543000,1565000,26191
20200818,1595000,1596000,1499000,1500000,50554
20200819,1475000,1544000,1472000,1519000,33302
20200820,1502000,1535000,1493000,1500000,36587
20200821,1506000,1596000,1506000,1563000,36757
20200824,1585000,1600000,1537000,1543000,25732
20200825,1544000,1556000,1536000,1539000,19954
20200826,1531000,1531000,1500000,1517000,42308
20200827,1500000,1516000,1497000,1499000,21549
