DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200803,193000,195000,190000,192000,240285
20200804,192000,197000,192000,194000,226337
20200805,194000,195000,192500,194000,196344
20200806,195500,201000,195500,201000,384949
20200807,201000,202000,194500,197000,335833
20200810,194500,199500,193000,198500,302994
20200811,201000,209500,200500,207000,655895
20200812,205500,210000,203500,208500,360782
20200813,209000,210000,204000,206000,397625
20200814,207000,211000,205000,210500,438014
20200818,208500,209500,202000,203000,437588
20200819,203500,203500,199000,201000,220589
20200820,199500,201500,193000,195000,373768
20200821,196000,201000,195500,199000,257961
20200824,196500,199500,194000,199000,205330
20200825,200000,202000,198000,200500,223434
20200826,198000,198000,192000,193000,512515
20200827,191500,192000,186500,188500,430976
