DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,12300,12450,12200,12400,515882
20200730,12400,12500,12050,12200,888941
20200729,12450,12600,12300,12400,608779
20200728,12600,13000,12500,12550,1108037
20200727,13000,13000,12500,12550,1325772
20200724,13250,14350,12950,13000,7972774
20200723,12550,12950,12300,12950,1938937
20200722,12350,13000,12050,12550,2251646
20200721,11950,12450,11900,12300,1120247
20200720,11950,12050,11500,11900,854411
20200717,11950,12200,11950,12000,410382
20200716,12300,12300,11900,11950,652145
20200715,12450,12550,11950,12250,1056890
20200714,12500,13700,12300,12350,5068995
20200713,12000,12350,11700,12000,1008409
20200710,12350,12350,11850,11950,956257
20200709,12950,13000,12300,12400,1359548
20200708,13100,13100,12800,12850,585059
20200707,13250,13250,12950,13150,643743
20200706,13150,13250,12800,13050,815795
20200703,12800,13150,12600,13000,1197899
20200702,12900,13150,12750,12750,1767541
20200701,13150,13450,12650,12700,2458681
20200630,14050,16700,13100,13250,21942825
20200629,12850,13000,12550,12850,824105
20200626,13350,13450,12900,13000,883414
20200625,12900,13350,12850,13250,1328925
20200624,13150,13450,12800,13200,1394058
20200623,13950,14300,12950,13100,2756963
20200622,14200,14200,13500,13850,2087869
20200619,13550,15650,13250,14000,14745949
20200618,12350,14750,12150,13400,18153287
20200617,12400,12700,11800,12050,4916556
20200616,11000,13250,10950,12250,20577613
20200615,11450,11550,10200,10200,1304151
20200612,11350,11650,11200,11500,1109621
20200611,12300,12600,11900,12100,1674357
20200610,11750,12450,11550,12300,2713280
20200609,12000,12100,11500,11700,1266930
20200608,11350,12000,11150,12000,3035183
20200605,10950,11400,10850,11200,676035
20200604,11300,11300,10900,11050,556692
20200603,11350,11500,11100,11200,884949
20200602,11100,11350,10950,11200,772956
20200601,10850,11350,10700,11100,1349124
20200529,10400,10950,10250,10950,635512
20200528,11050,11050,10300,10450,760599
20200527,10750,11150,10650,11000,1239438
20200526,10500,10650,10400,10600,418706
20200525,10450,10550,10300,10500,421902
