DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,175500,175800,169200,172600,135830
20200730,167000,189800,165200,172900,834594
20200729,164900,167400,160500,164700,104344
20200728,168000,168200,159500,164000,271055
20200727,172300,178500,170000,171000,149601
20200724,173500,179400,169200,171900,202982
20200723,180200,180300,175000,175300,177059
20200722,184100,184100,179600,180500,117621
20200721,184200,186800,181700,183200,117508
20200720,184300,185200,179400,183100,140362
20200717,187600,189000,182700,185700,114037
20200716,184500,191400,181600,187300,140923
20200715,200800,200800,187300,187500,220107
20200714,192400,200000,185600,200000,452600
20200713,209600,209600,196300,198000,337502
20200710,198900,209900,191500,204400,907888
20200709,252800,254200,211400,219400,879960
20200708,233000,275000,233000,252600,1765588
20200707,215800,215800,215800,215800,187389
20200706,173900,174000,156600,166000,763070
20200703,161200,168800,158100,167900,380765
20200702,155500,159700,155100,158000,229701
20200701,148000,159400,146100,154200,397206
20200630,138000,148000,138000,145600,239202
20200629,139800,141300,136500,137800,96000
20200626,144800,146700,139800,142000,125048
20200625,140100,149100,139400,144700,239192
20200624,144100,145000,138000,142300,358352
20200623,135000,137900,129000,133000,306870
20200622,125700,138400,124000,134500,573229
20200619,119000,128800,116300,123500,702712
20200618,120800,129500,114800,120000,1481062
20200617,147100,152000,146800,150000,153894
20200616,148700,152100,147500,148700,193904
20200615,154700,157300,145400,147000,228321
20200612,143500,170000,143100,153000,703151
20200611,152200,155000,148300,150000,400261
20200610,144000,175000,137800,156200,1733332
20200609,148100,151100,143100,143200,273495
20200608,146500,156900,141600,150500,430301
20200605,155500,157000,149100,149600,447821
20200604,156000,167200,151500,158700,660031
20200603,162800,163800,157300,158200,413656
20200602,176800,176800,159400,165200,759257
20200601,174700,182000,169500,174700,516762
20200529,164200,184400,163600,169000,1366076
20200528,170500,172900,162200,163700,236186
20200527,170100,175500,168200,171800,281085
20200526,173700,179900,166100,172000,660409
20200525,175900,184300,170000,171200,749659
20200522,143000,190000,142000,182900,2563404
20200521,146500,153700,142700,146800,334190
20200520,139000,148800,138500,145700,310604
20200519,139700,144000,134300,137400,352784
20200518,148400,148400,138100,138900,290550
20200515,140000,153900,137400,148400,539300
20200514,149700,149700,140200,141700,445324
20200513,154000,157800,151700,153800,279301
20200512,169800,172000,150700,159600,698137
20200511,155200,177900,155100,163700,1200244
20200508,131200,159600,128600,153100,2092515
20200507,118200,128800,117900,125500,656663
20200506,111600,118300,111600,117900,456739
20200504,110200,123500,108500,111200,854859
20200429,105900,134800,105200,115600,2304572
20200428,105500,112500,101100,107500,644382
20200427,108000,113200,103600,104900,456262
20200424,114400,114400,108700,110000,376547
20200423,114000,121300,112700,116400,632815
20200422,123800,124800,108900,110900,770224
20200421,120500,134500,119800,128700,1325222
