DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,30300,32900,30200,32050,2711624
20200730,30950,31050,29800,29900,1599889
20200729,32850,33350,31000,31150,1808389
20200728,32000,34500,31750,32850,4078500
20200727,31400,32350,31100,31600,1178596
20200724,31550,34000,31000,31650,3522862
20200723,31900,32750,31050,31800,1971243
20200722,30600,31850,29600,31700,2204383
20200721,28850,31850,28750,30600,4606144
20200720,29150,29550,28650,28800,995877
20200717,28800,29250,28450,29050,840337
20200716,29200,30050,28200,28600,1635391
20200715,28000,29750,27000,29500,3076410
20200714,27150,29750,26700,27600,3832133
20200713,27950,27950,26600,26800,1415768
20200710,27550,28000,27150,28000,1078653
20200709,28500,28950,27500,27550,1603645
20200708,29350,29700,28600,28650,1206287
20200707,28500,29850,27850,29450,2169127
20200706,29950,29950,28550,28550,1485277
20200703,29750,30450,28300,29900,2623225
20200702,30400,31600,29300,29500,2898648
20200701,31500,31500,29500,29500,1857380
20200630,31400,31600,29200,31000,3207438
20200629,31550,32700,30600,30900,2403401
20200626,33900,33900,31200,31950,2831880
20200625,32800,35000,32100,33700,4404097
20200624,35850,36300,32500,33100,5765010
20200623,37400,37800,35600,36650,4472117
20200622,35150,37950,34100,36750,8326414
20200619,36300,37950,33050,34750,8093573
20200618,31850,38900,30900,35000,24345050
20200617,32700,33050,30250,32200,6473464
20200616,28950,33850,28550,33200,19789792
20200615,31300,32200,26050,26050,9300578
20200612,28150,29700,27650,29450,5816053
20200611,29150,30750,28100,29750,15434925
20200610,23900,29050,23250,29050,36267529
20200609,22300,22650,21750,22350,1659289
20200608,22000,22350,21100,22150,2013003
20200605,20950,21800,20100,21750,1957909
20200604,21650,23450,20550,20800,6423238
20200603,21400,21550,20350,20700,2044100
20200602,20650,21400,19800,21050,3365322
20200601,18550,20700,18550,20650,5947583
20200529,18250,18350,17700,18300,592589
20200528,18250,19800,17900,18200,1955772
20200527,18550,18850,18150,18200,505157
20200526,18400,18600,18100,18500,513329
20200525,18700,18900,18350,18400,435960
20200522,18550,19200,18150,18550,631608
20200521,19000,19050,18500,18550,436703
20200520,18400,19000,18200,18950,687583
20200519,18450,18700,18100,18300,578418
20200518,19300,19650,18200,18250,1289283
20200515,19650,19700,19100,19300,610877
20200514,19900,19900,19100,19300,973066
20200513,20150,20550,19850,20100,960776
20200512,19600,20650,19250,20200,2189939
20200511,20150,20200,19400,19450,894882
20200508,20000,20400,19650,20100,1393806
20200507,20650,20750,19900,20100,1577513
20200506,19350,22150,18950,20700,7857045
20200504,18000,19450,17700,19200,1851937
20200429,18700,18750,18150,18200,741359
20200428,19300,19600,18400,18850,1684926
20200427,18300,18800,18050,18750,1026535
20200424,17900,19050,17750,18000,2609274
20200423,18250,18300,17800,18000,507789
20200422,17150,18250,17100,18150,771168
20200421,18000,18050,16600,17400,1046736
20200420,18250,18350,18000,18100,571594
20200417,18500,18650,18100,18150,793381
20200416,17950,18550,17700,18400,1010867
20200414,18100,18150,17550,18000,900108
