DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,21950,22650,21250,21500,487965
20200730,20900,21450,20100,21250,413983
20200729,22500,22550,20450,20950,648727
20200728,22450,22950,21550,22950,683989
20200727,24000,24850,21150,22500,2692576
20200724,19400,23400,19350,23400,3009840
20200723,17750,18650,17750,18000,240921
20200722,16500,18300,16500,17900,351905
20200721,15700,16950,15550,16800,241209
20200720,15600,16000,15300,15700,67124
20200717,15400,15800,15200,15500,47296
20200716,15850,16000,15200,15400,90423
20200715,16150,16250,15650,15950,64446
20200714,15800,16300,15800,16150,76295
20200713,16050,16200,15400,15850,153772
20200710,16600,16700,16100,16150,98925
20200709,16250,16950,15950,16650,125783
20200708,15900,16450,15900,16400,80139
20200707,16650,16650,15900,16000,157984
20200706,16800,16800,16400,16650,82293
20200703,16800,16850,16400,16800,85129
20200702,16750,17100,16550,16800,88671
20200701,17100,17250,16500,16750,121624
20200630,16950,17450,16400,17100,232555
20200629,17400,17500,16800,16900,219012
20200626,20100,20400,17750,17800,1016043
20200625,18700,18850,17900,18200,550825
20200624,17350,19500,17200,19000,1097460
20200623,17000,17500,16650,17200,259785
20200622,16900,17400,16500,17100,242092
20200619,16600,16950,15700,16700,226276
20200618,16600,17050,16400,16500,161858
20200617,16700,17750,16600,16800,238361
20200616,16200,17150,16150,17050,193464
20200615,18000,18250,15300,15550,421410
20200612,16950,18000,16700,17900,327845
20200611,18100,19750,17750,18050,830001
20200610,17700,18450,17700,18050,186677
20200609,18000,18650,17400,17900,253661
20200608,18250,18400,17950,18050,116254
20200605,18300,18300,17850,18250,141919
20200604,18200,18600,17650,18200,193629
20200603,18900,18950,17600,17950,399566
20200602,17700,18600,17450,18600,497202
20200601,16700,17650,16600,17600,284691
20200529,16800,16850,16200,16400,131265
20200528,17700,17700,15950,16800,389830
20200527,17600,17800,17200,17500,164909
20200526,17400,18350,17250,17600,286645
20200525,18200,18250,17050,17600,411505
20200522,17400,18650,17350,17950,736745
20200521,17650,18200,17050,17200,266652
20200520,17400,17900,17350,17750,195286
20200519,16850,18000,16050,17700,609010
20200518,16700,17600,16300,16850,358347
20200515,15450,17600,15050,16800,1141609
20200514,14400,15300,14400,15250,279911
20200513,14250,14700,14200,14550,103271
20200512,14500,14750,14100,14450,151752
20200511,14500,14800,13950,14200,191513
20200508,14750,15150,14350,14650,167879
20200507,14500,14850,14200,14550,176423
20200506,13500,14650,13350,14500,401610
20200504,12650,13800,12600,13500,276838
20200429,13250,13250,12800,12950,130647
20200428,12650,13250,12500,13200,201643
20200427,12650,12750,12400,12650,74723
20200424,12750,13100,12350,12500,153060
20200423,13350,13350,12750,12900,84640
20200422,12900,13150,12400,13000,142564
20200421,13300,13400,12000,12950,329758
20200420,13800,13800,13300,13450,186288
20200417,13400,13750,13250,13350,173327
20200416,13000,13650,12700,13400,252286
20200414,13100,13350,12550,13000,182080
20200413,12800,13600,12550,12800,515014
20200410,12800,12800,12050,12250,226671
20200409,13350,13400,12600,12700,237976
20200408,12700,13250,12450,12850,248914
20200407,12850,13600,12000,12950,716954
20200406,11100,12450,10800,12450,508911
20200403,10800,11050,10600,10750,182505
20200402,10850,11150,10050,10700,278774
20200401,11000,11250,10550,10850,352143
20200331,10850,11550,10350,11000,467414
20200330,9840,10700,9600,10550,461746
20200327,10250,10550,9000,9840,761105
20200326,8670,10650,8500,9690,1349618
20200325,8070,8400,7840,8220,683598
20200324,7670,8070,7620,7790,485798
20200323,8000,8280,7210,7650,743826
20200320,11050,12150,7530,8610,3303123
20200319,12700,12700,10150,10600,605854
20200318,12950,13400,11800,12050,504127
20200317,10700,12900,10650,12600,640632
20200316,12350,13550,11350,11350,741478
20200313,11500,12750,10150,12350,689367
20200312,13500,13950,12600,12800,394999
20200311,14650,15200,13300,13450,421451
20200310,14200,15050,14000,14750,351358
20200309,15150,15700,14350,14700,385879
20200306,15950,16300,15100,15800,462885
20200305,14700,16300,14650,16250,897946
20200304,14000,14850,13950,14700,260288
20200303,14700,15100,14250,14250,638300
20200302,12900,14500,12650,14150,705106
20200228,14150,14300,12400,12600,549222
20200227,14100,15100,13850,14550,489356
20200226,14400,15050,14200,14400,313705
20200225,14300,15250,14000,14700,402801
20200224,14500,15250,14050,14700,580381
20200221,13350,14950,13050,14750,865969
20200220,12300,14650,12300,13450,1483383
20200219,12250,13350,11500,12250,638914
20200218,12050,12300,11750,12250,196307
20200217,11800,12350,11700,12100,329919
20200214,11200,12200,11050,11750,639341
20200213,10300,11650,10200,11350,989010
20200212,10050,10350,9980,10200,133857
20200211,10200,10250,9780,10150,179362
20200210,10200,11000,9960,10050,620618
20200207,9310,11100,9260,10100,1673226
20200206,9100,9400,9080,9200,56676
20200205,8880,9020,8880,8970,25730
20200204,8650,8850,8650,8780,15644
20200203,8600,8690,8150,8600,49673
20200131,8950,9040,8660,8660,50327
20200130,9190,9350,8980,8990,29791
20200129,9200,9380,8950,9270,67353
20200128,9270,9270,8460,8870,50055
20200123,9300,9370,9110,9300,20846
20200122,9170,9350,9170,9300,23051
20200121,9350,9450,9150,9170,40182
20200120,9310,9500,9280,9350,32491
20200117,9310,9330,9200,9310,17013
20200116,9300,9380,9110,9300,31998
20200115,9160,9460,9150,9310,33752
20200114,9340,9400,9200,9220,35494
20200113,9220,9250,8600,9250,30423
20200110,8990,9230,8920,9220,27234
20200109,8800,9000,8800,8900,23183
20200108,9140,9140,8600,8610,78396
20200107,9120,9200,9040,9170,36583
20200106,9250,9340,9000,9100,68420
20200103,9470,9640,9250,9370,38107
20200102,9050,9700,9050,9500,96019
20191230,8850,9120,8730,9050,49607
20191227,8530,8850,8470,8730,32365
20191226,8410,8630,8380,8390,89783
20191224,9000,9070,8400,8400,100496
20191223,9010,9180,8980,9000,34133
20191220,8800,9180,8800,9010,52034
20191219,8730,8880,8730,8840,30037
20191218,8800,8920,8700,8720,31965
20191217,8700,8940,8700,8710,48812
20191216,8770,8820,8700,8720,27437
20191213,8740,8950,8670,8750,37110
20191212,8640,8860,8590,8730,23410
20191211,8790,8790,8600,8640,25288
20191210,8520,8760,8500,8700,20007
20191209,8660,8750,8510,8540,20094
20191206,8530,8680,8430,8650,23551
20191205,8950,8960,8470,8530,34262
20191204,9100,9100,8800,8820,44464
20191203,9150,9210,9060,9100,25679
20191202,9200,9300,9120,9150,14888
20191129,9240,9320,9070,9200,24668
20191128,8920,9410,8920,9240,36839
20191127,9510,9570,9270,9360,23599
20191126,9500,9610,9450,9500,22500
20191125,9220,9490,9210,9490,22369
20191122,9420,9420,9170,9210,37524
20191121,9650,9720,9370,9380,63623
20191120,10000,10350,9650,9720,97194
20191119,9910,10350,9650,10100,151834
20191118,9740,9900,9720,9820,38392
20191115,9790,9830,9660,9760,31250
20191114,9660,9850,9610,9750,32919
20191113,9840,9880,9660,9700,47894
20191112,9860,10050,9780,9860,37533
20191111,9970,10200,9700,9820,84598
20191108,10450,10550,10000,10000,130468
20191107,10300,10350,10050,10200,91167
20191106,9760,11100,9760,10350,713017
20191105,9490,9720,9300,9710,122494
20191104,9250,9590,9240,9480,66984
20191101,9090,9220,9080,9200,27279
20191031,9140,9270,9040,9160,28600
20191030,9330,9400,9090,9140,47809
20191029,9200,9550,9190,9310,61013
20191028,9150,9390,9100,9190,90008
20191025,9190,9300,9050,9150,59993
20191024,9650,9690,9160,9330,93980
20191023,9270,9710,9220,9640,149489
20191022,9200,9450,9170,9180,45406
20191021,9320,9360,9080,9190,24703
20191018,9570,9570,9270,9280,24645
20191017,9590,9700,9420,9480,29128
20191016,9330,10050,9330,9500,155515
20191015,9260,9380,9210,9320,14897
20191014,9480,9480,9260,9300,25647
20191011,9210,9480,9210,9240,43268
20191010,9330,9400,9180,9180,33180
20191008,9460,9620,9330,9350,41398
20191007,9060,9570,9000,9410,63687
20191004,8930,9090,8930,9040,15420
20191002,9300,9300,9000,9060,17986
20191001,9000,9400,8980,9320,29994
20190930,9240,9240,8960,9000,28762
20190927,9230,9250,9120,9160,21269
20190926,9270,9440,9200,9250,31276
20190925,9420,9510,9270,9270,36114
20190924,9330,9590,9240,9510,35901
20190923,10000,10000,9490,9510,64172
20190920,10050,10200,9850,9910,53371
20190919,10050,10300,10000,10050,48573
20190918,10450,10450,10000,10050,129364
20190917,9320,10350,9320,10350,263537
20190916,9100,9320,8990,9320,47724
20190911,8860,9090,8780,9040,38457
20190910,8800,8850,8680,8800,14368
20190909,8830,8990,8720,8800,22301
20190906,8960,9010,8820,8890,18277
20190905,8960,9050,8820,8890,21029
20190904,8820,8980,8820,8880,21205
20190903,8780,9080,8760,8850,31012
20190902,8580,8780,8550,8780,18523
20190830,8690,8750,8620,8640,24796
20190829,8480,8720,8430,8510,63478
20190828,8100,8550,8070,8470,60288
20190827,8210,8500,8120,8130,25555
20190826,8700,8700,8090,8120,72174
20190823,8660,8780,8630,8700,23393
20190822,8830,8930,8590,8800,32717
20190821,8380,8790,8300,8780,37455
20190820,8150,8420,8090,8380,18231
20190819,8190,8230,8090,8140,16491
20190816,8180,8260,8050,8050,21414
20190814,8140,8310,8140,8270,20161
20190813,8100,8230,8000,8020,20657
20190812,7860,8250,7860,8150,48703
20190809,8290,8290,7890,8040,52306
20190808,7450,8080,7420,8040,87735
20190807,7200,7600,7200,7390,119122
20190806,7580,8250,7100,7120,225239
20190805,9880,9890,8190,8190,115499
20190802,9170,9440,9050,9380,32755
20190801,9440,9660,9300,9360,100809
20190731,8810,9130,8490,9070,68933
20190730,8500,9050,8500,8860,55411
20190729,9220,9360,8580,8580,88419
20190726,9420,9590,9210,9310,49692
20190725,10000,10000,9480,9570,60112
20190724,10200,10500,9940,9940,64356
20190723,10150,10850,10050,10150,126013
20190722,10350,10550,10150,10150,42370
20190719,10350,10500,10250,10300,34023
20190718,10450,10500,10100,10350,49964
20190717,10250,10900,9970,10450,310920
20190716,9750,10150,9750,10100,47740
20190715,9680,9780,9550,9700,29453
20190712,9800,9980,9630,9630,37502
20190711,9450,9710,9400,9680,34675
20190710,9230,9580,9230,9400,29924
20190709,9720,9790,9190,9220,81769
20190708,10100,10100,9600,9630,39538
20190705,9550,11050,9490,10050,272095
20190704,9940,9990,9430,9540,70787
20190703,9930,10000,9800,9930,42155
20190702,10200,10200,9940,9940,40640
20190701,9850,10200,9820,10150,63377
20190628,10200,10300,9700,9810,136156
20190627,10550,10750,10050,10200,93682
20190626,10700,10900,10500,10600,43249
20190625,11000,11150,10650,10700,81487
20190624,11100,11200,11000,11050,33758
20190621,11350,11350,11050,11150,33588
20190620,11100,11250,11050,11250,34169
20190619,11150,11300,11100,11150,41533
20190618,11200,11350,11000,11000,42333
20190617,11500,11600,11250,11300,59822
20190614,11450,11600,11400,11500,34167
20190613,11350,11550,11350,11500,43798
20190612,11600,11650,11350,11350,43680
20190611,11550,11700,11450,11550,44975
20190610,11650,11700,11450,11500,37942
20190607,11500,11650,11350,11550,64205
20190605,11700,11800,11450,11450,61617
