,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,248400,249300,242500,245900,68096
20200730,237900,249400,237900,249200,124315
20200729,236500,239700,235100,236200,55432
20200728,239800,242000,235200,235200,81876
20200727,239100,243100,236400,240100,61554
20200724,242400,242400,235100,239300,75569
20200723,241600,246600,239100,244000,85156
20200722,247100,250100,242900,244000,89403
20200721,254500,256900,243800,246900,103584
20200720,246000,259700,244400,252900,185570
20200717,240000,248800,232000,246000,311370
20200716,226500,228800,218200,227800,206816
20200715,218100,224600,210200,223500,113061
20200714,214500,223200,208000,216600,154940
20200713,200400,215900,199800,215000,188039
20200710,199200,202000,196700,198700,68495
20200709,200000,203600,198400,200000,102327
20200708,196300,200400,196000,198700,53431
20200707,204300,205000,197500,197500,80576
20200706,198500,205300,198000,201900,72600
20200703,203100,203600,198100,199800,105160
20200702,213300,214400,202100,203900,130145
20200701,202600,216000,202100,209800,276973
20200630,208800,208900,198000,200000,111912
20200629,190000,208000,189600,203500,303208
20200626,194700,196600,191000,192200,70186
20200625,189800,194600,187000,191500,72538
20200624,195600,198000,192500,192500,94037
20200623,195600,199800,190100,193200,105801
20200622,186200,199500,185300,195600,194616
20200619,189900,190600,182600,187100,114986
20200618,194000,213300,188500,189100,482620
20200617,168500,189800,166000,179200,328767
20200616,159700,169000,159700,168000,51382
20200615,164400,166700,158900,158900,59586
20200612,157200,165900,157100,165900,44411
20200611,169400,169900,166000,166000,47253
20200610,169100,169900,168000,169400,21722
20200609,170700,172400,168000,169500,36326
20200608,169200,171500,167600,170700,42896
20200605,167700,169800,166100,168600,43338
20200604,168900,171000,166000,167200,43383
20200603,168400,169600,167000,168600,29221
20200602,167200,169900,166000,167000,38064
20200601,162200,167200,161500,166900,47696
20200529,165100,166600,161500,162100,36146
20200528,169700,169700,163300,164100,39955
20200527,172400,172600,166900,167700,47209
20200526,171400,173500,170300,172000,28270
20200525,172000,174500,169300,172000,37271
20200522,174200,175000,169800,170300,37483
20200521,175100,179700,173100,175600,51728
20200520,168000,177000,167100,175200,103269
20200519,168500,170800,166600,167400,43961
20200518,164900,167900,163500,166200,29918
20200515,167000,167600,163400,166600,39709
20200514,165800,167400,163200,167000,38567
20200513,163800,168100,162400,167400,34225
20200512,166700,168200,164100,165900,34720
20200511,168500,169800,164800,166700,53380
20200508,157900,168800,156700,168500,104429
20200507,154000,158500,153500,157900,22296
20200506,152900,157600,152900,155700,29782
20200504,157500,159900,151900,151900,57754
20200429,160000,163000,157500,157500,52330
20200428,157700,160700,157000,158600,28449
20200427,153100,159800,152700,158900,36466
20200424,155200,157000,153000,154000,24594
20200423,158500,158500,154400,156700,22571
20200422,152000,156300,151200,154200,25362
20200421,155400,156200,152000,154200,33091
20200420,156100,158500,154200,155500,26141
20200417,158400,161500,154900,158200,41263
20200416,145700,157000,143700,154800,69665
20200414,143200,151000,142600,147300,44824
20200413,145100,145700,141200,141200,44309
20200410,148000,148400,141500,147900,76378
20200409,146800,148600,145500,148600,39952
20200408,141200,150700,139300,145300,85370
20200407,143100,146800,139600,141200,71124
20200406,131000,139400,130000,138400,52950
20200403,129100,131400,128100,131000,33866
20200402,128700,131700,126500,128600,41275
20200401,131000,135000,128100,128100,53242
20200331,135200,136700,132300,134000,72039
20200330,133500,136400,128500,135200,39583
20200327,137700,139000,132700,135600,71812
20200326,136100,139500,132200,133200,58459
20200325,136100,141200,134200,137100,50900
20200324,123500,134000,121100,133300,54527
20200323,120100,124400,108100,119700,88635
20200320,119300,130700,119200,130700,70984
20200319,139000,141500,114500,116900,88975
20200318,139600,144000,134800,134800,36407
20200317,130000,141400,129400,141000,53553
20200316,138000,143800,132000,133000,42549
20200313,130000,144900,130000,137000,74853
20200312,148000,149400,139800,141100,73637
20200311,151500,154100,149100,149600,35549
20200310,149900,156000,146500,154600,38172
20200309,153200,153200,149500,150800,34395
20200306,155000,157100,154100,155800,40157
20200305,154700,157700,152500,156300,49145
20200304,152500,156000,152000,152900,31037
20200303,155700,156300,152000,152600,37237
20200302,150700,153400,147400,151900,45312
20200228,152500,153300,147000,148000,60766
20200227,157600,159500,153000,154000,30673
20200226,156000,159600,154800,157700,35607
20200225,155000,159200,153200,158900,37605
20200224,155900,157000,154200,154300,63401
20200221,161000,162100,158900,158900,46087
20200220,162900,163000,160500,162200,28492
20200219,164300,166900,160200,162200,62138
20200218,165500,169400,164200,164200,44185
20200217,167600,168300,165200,166000,40819
20200214,168000,170000,167000,168000,45579
20200213,165500,169300,165500,168000,59639
20200212,163900,166500,163900,165900,34160
20200211,165500,168700,164100,165500,62733
20200210,167000,167000,161700,165300,87222
20200207,171000,171000,166000,169600,48411
20200206,169000,170000,165500,170000,37600
20200205,160100,166900,159100,166900,90442
20200204,156600,160400,156600,158800,34137
20200203,153800,159100,153200,157300,38513
20200131,157600,161100,156200,156300,44063
20200130,162200,163000,156000,157400,85159
20200129,163000,164300,162100,162300,37177
20200128,165500,165600,162700,162800,64044
20200123,172200,172200,169000,169200,78388
20200122,173000,173600,171700,173000,48730
20200121,177600,177700,172000,172500,65471
20200120,180900,181100,177200,177400,39421
20200117,178400,181400,177600,179700,67994
20200116,173700,177900,172500,177300,56804
20200115,176000,176000,173500,174000,28976
20200114,173500,180500,173200,175300,89904
20200113,173500,174400,171100,172500,43066
20200110,177800,177900,173500,174500,66433
20200109,179200,179200,175600,177700,58400
20200108,173300,177200,168800,174900,101007
20200107,175000,177700,172500,173300,58385
20200106,179100,179800,174500,175500,75231
20200103,184300,187500,180200,181000,62954
20200102,185800,185800,180300,181000,62773
20191230,183700,185800,182500,185500,30405
20191227,184000,185500,182500,183700,49662
20191226,184800,185200,180800,184700,71743
20191224,190100,191600,183600,183800,62303
20191223,192000,193000,189300,191100,25887
20191220,190700,193200,190700,192000,22269
20191219,191300,194600,189300,190700,38672
20191218,189100,192800,189000,191300,40960
20191217,182300,190500,181200,190500,73001
20191216,181800,182600,179000,182100,35398
20191213,175800,181500,175200,178800,52996
20191212,172400,174900,169700,173800,47429
20191211,168000,170100,167200,169900,11754
20191210,167600,168900,167000,168500,15296
20191209,170000,170000,167500,168900,11496
20191206,167700,169800,167200,168800,15821
20191205,170100,171900,167300,167700,28184
20191204,169900,171900,168600,171400,16568
20191203,170500,172300,167700,171000,16890
20191202,174000,174700,170200,170800,29837
20191129,173100,175000,172600,174000,13479
20191128,176100,176800,173000,173900,16884
20191127,175600,177000,175000,176100,9652
20191126,174100,177600,172900,175900,17536
20191125,173500,175500,172700,175300,13302
20191122,172800,174800,171100,171900,12756
20191121,175900,175900,171000,171500,30567
20191120,178200,179300,174300,174300,20521
