,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,37900,38500,37550,37800,369347
20200730,38900,39100,37650,37800,458543
20200729,38850,40100,38200,38500,582195
20200728,39150,39150,38100,38850,417576
20200727,38900,39500,38500,38850,283379
20200724,39300,39600,37850,38950,827948
20200723,40100,40550,39200,40200,542139
20200722,40650,41900,39300,39750,787885
20200721,41300,41450,39850,40500,731800
20200720,38700,41400,38350,41250,1287369
20200717,38500,39600,38000,38500,494712
20200716,40100,41100,37250,38600,1188087
20200715,39150,41600,38650,39700,1727367
20200714,38700,41100,37950,38650,1438182
20200713,39200,40150,38650,39450,774276
20200710,38700,39800,37950,39000,815111
20200709,38150,40400,37200,38550,2311186
20200708,33650,40100,33300,38500,4807982
20200707,34000,35700,33050,33700,1456133
20200706,34900,35000,33550,34050,1285204
20200703,34550,35400,33350,35150,1358860
20200702,32450,34750,31750,34300,2064364
20200701,32450,34150,31650,32250,2000653
20200630,32100,32900,31050,32150,2922803
20200629,29750,32200,29600,31650,5726437
20200626,25700,30850,25700,29200,9772835
20200625,24950,25200,24500,24650,240756
20200624,25200,25700,24900,25450,170263
20200623,25300,25650,24800,25000,184984
20200622,25500,25750,25100,25200,185495
20200619,26200,26400,25450,25500,257180
20200618,26250,26300,25600,26250,380389
20200617,24100,26350,24100,25950,794841
20200616,23950,24550,23700,24300,235224
20200615,25050,25100,23050,23100,491702
20200612,24500,25250,24450,25100,374351
20200611,26700,26700,25850,25850,372097
20200610,26700,27050,26600,26700,238742
20200609,26900,27150,26500,26650,258267
20200608,27450,27450,26650,26700,289585
20200605,27800,27850,27100,27300,349257
20200604,26750,27700,26600,27450,770536
20200603,27400,27450,26550,26650,362241
20200602,27100,27600,26900,27100,406864
20200601,26750,27150,26500,26950,297252
20200529,25900,27000,25500,27000,317487
20200528,27350,27450,25700,26200,476148
20200527,26950,27700,26700,27200,824630
20200526,26150,26900,25800,26900,367772
20200525,26250,26300,25550,26150,263664
20200522,26950,27050,25900,26100,516141
20200521,25500,27200,25400,26950,1048854
20200520,24650,25300,24650,25250,225800
20200519,24850,25000,24550,24800,252844
20200518,24800,24900,24200,24400,404482
20200515,25550,25650,25000,25100,220081
20200514,25400,25850,25350,25400,138891
20200513,25300,25900,25200,25900,204101
20200512,26150,26400,25500,25700,191061
20200511,26600,26650,26000,26150,277104
20200508,26250,26600,26050,26300,411571
20200507,25400,25800,25050,25800,435527
20200506,25600,25750,25250,25400,312638
20200504,25950,25950,25250,25300,503588
20200429,26850,27000,26400,26450,321784
20200428,27450,27450,26650,26850,222595
20200427,27100,27250,26600,27200,217588
20200424,27500,28150,26800,26900,472033
20200423,27950,28050,27450,27850,393023
20200422,26800,27500,26550,27500,276028
20200421,27800,28250,26400,27250,679318
20200420,28300,28550,27800,28000,354961
20200417,28750,28800,28000,28250,599705
20200416,27100,28250,26700,28250,654446
20200414,26500,27350,26500,27050,369460
20200413,27000,27100,26100,26100,371187
20200410,27700,27900,26650,27200,383537
20200409,28500,28550,27450,27700,578578
20200408,27900,28750,27550,27900,755422
20200407,28900,28950,27600,28100,676416
20200406,28000,28400,27700,28400,638060
20200403,27700,28200,27300,27850,588716
20200402,27900,28100,26600,27600,779359
20200401,25750,29000,25550,26900,2006014
20200331,26250,26300,25350,25850,507991
20200330,23850,25900,23650,25850,682444
20200327,25850,25900,24200,24750,682432
20200326,25800,25900,25100,25100,585577
20200325,26350,26550,24900,25800,867346
20200324,24600,25500,24100,25400,762264
20200323,23750,24600,23100,23700,549594
20200320,24600,25100,23900,25100,794420
20200319,24150,24550,22550,23550,1300398
20200318,24550,25600,22950,22950,1047621
20200317,21300,24200,21200,24000,816920
20200316,23050,23900,21800,22350,858355
20200313,21300,23100,19350,22150,1172421
20200312,24500,24950,22850,23550,622617
20200311,25750,26300,24500,24900,563915
20200310,24250,25500,24250,25500,554388
20200309,25700,25950,24650,24650,536613
20200306,26300,27300,26000,26450,578836
20200305,26900,26950,26200,26700,439380
20200304,25300,26500,25300,26500,470554
20200303,27150,27350,25650,25700,639596
20200302,25650,26250,25150,26200,626300
20200228,26400,26900,25250,25600,940245
20200227,29250,29300,27150,27400,773586
20200226,29050,29600,28800,29250,394513
20200225,29150,29950,28500,29850,444726
20200224,30050,30300,28900,29100,616967
20200221,30050,31450,30000,30850,376511
20200220,32250,32250,30400,30900,613294
20200219,32350,32750,30750,32100,575429
20200218,32300,32550,31650,31850,406853
20200217,31750,33100,31500,32150,756173
20200214,31150,32300,31100,31600,579683
20200213,31950,32300,30750,31600,888484
20200212,30350,31600,30300,31000,1238943
20200211,29000,29850,28600,29850,501562
20200210,28500,29050,28350,28800,217321
20200207,29250,29250,28350,28700,307375
20200206,29200,29300,28650,29150,258951
20200205,29400,29700,28600,28750,302530
20200204,28350,29200,28000,29100,341532
20200203,26650,28250,26300,28200,484878
20200131,28500,28750,27100,27150,462674
20200130,29250,29750,28000,28250,442346
20200129,28900,29700,28650,29200,433442
20200128,28800,29250,28300,28650,708261
20200123,30250,31250,30050,30450,605417
20200122,30450,30600,29850,30300,478382
20200121,29850,31200,29700,30300,1274087
20200120,29850,29850,29050,29500,475765
20200117,30850,30850,29750,29850,538063
20200116,29900,30700,29650,30600,434252
20200115,30200,30600,29750,29800,243422
20200114,30350,31000,29900,30050,508171
20200113,30100,30450,29650,30250,407575
20200110,30350,30400,29450,29850,396900
20200109,30450,30500,29900,30300,505742
20200108,29400,29900,28650,29100,897358
20200107,29900,30500,29700,30050,473108
20200106,29950,30150,29200,29500,678313
20200103,30800,30850,30050,30700,676033
20200102,29000,30700,28900,30500,1101212
20191230,29050,29150,28600,28800,430488
20191227,29450,29850,28950,29100,523648
20191226,28400,29250,28250,29200,591423
20191224,28300,28600,27750,28150,486338
20191223,29500,29550,28300,28300,711046
20191220,28450,29600,27900,29350,1124081
20191219,28500,28850,27950,28200,569082
20191218,28600,28700,27900,28550,522128
20191217,28150,28600,27750,28500,757303
20191216,26850,28350,26750,28050,1822830
20191213,26100,26650,25700,26600,662473
20191212,26500,26550,25700,25700,1008783
20191211,25900,26450,25700,26300,572651
20191210,25300,25900,25300,25850,369963
20191209,26100,26200,25300,25550,440379
20191206,25000,25800,24750,25500,502212
20191205,24750,25450,24450,24750,463428
20191204,24400,24650,24200,24450,139557
20191203,24500,25200,24350,24500,283885
20191202,24600,25150,24600,24900,197995
20191129,25100,25250,24350,24700,268900
20191128,24850,25400,24750,25100,292030
20191127,25600,25600,24700,24750,305050
20191126,25100,25500,24800,25500,552046
20191125,24550,25250,24450,24850,313455
20191122,24500,24750,24150,24450,230547
20191121,24750,24850,24150,24450,316900
20191120,25300,25800,24500,24800,489500
20191119,25550,25550,25050,25250,265924
20191118,25800,25900,25250,25500,327827
20191115,25150,25900,25100,25650,473112
20191114,25600,26050,24850,25150,721567
20191113,26900,27000,25800,25900,555320
20191112,26150,26600,25500,26550,555214
20191111,26450,26800,25900,26050,462252
20191108,26850,27150,26200,26450,552992
20191107,27200,27350,26400,26650,630286
20191106,27650,27850,27050,27300,527700
20191105,29050,29100,27100,27500,1185207
20191104,30800,30850,28600,29000,694581
20191101,30150,30700,29300,30350,453081
20191031,30200,30750,30000,30400,261807
20191030,30900,31550,29750,29850,529330
20191029,30600,31000,29900,30700,373313
20191028,30800,30850,29600,30300,491030
20191025,31950,32000,30100,30500,977710
20191024,31000,32400,30750,31800,716066
20191023,31150,31850,30450,31400,635447
20191022,31450,31750,30100,31200,938845
20191021,31250,32800,30500,31300,1774049
20191018,28700,31100,28400,30800,1731279
20191017,28050,29200,27950,28400,983611
20191016,27900,28200,27300,27700,1003434
20191015,26250,27000,25850,26800,589982
20191014,26500,26550,25750,26100,335940
20191011,26650,26700,25700,26200,531894
20191010,24750,26300,24700,26200,1060562
20191008,23600,24600,23150,24500,336803
20191007,24200,24400,23550,23650,285608
20191004,24300,24700,23900,24100,236640
20191002,24100,24900,24000,24500,258642
20191001,24700,25200,24350,24500,368213
20190930,23300,24150,22950,24100,369465
20190927,24050,24600,23400,23800,300900
20190926,24650,24800,23850,24100,227601
20190925,25200,25450,24200,24300,367106
20190924,25650,25800,25150,25500,248811
20190923,25600,25800,25300,25650,223842
20190920,24600,25700,24450,25650,576027
20190919,24750,24800,24200,24300,243030
20190918,24450,24950,24350,24500,259362
20190917,24750,24950,24400,24500,266015
20190916,25250,25300,24450,24750,339810
20190911,25000,25350,24700,25250,278722
20190910,24800,25300,24500,24800,348143
20190909,26500,26500,24700,25150,674457
20190906,26300,27150,26200,26500,549606
20190905,27500,27550,25850,26250,891346
20190904,25400,27600,25300,27000,1570213
20190903,25700,26400,25100,25700,946008
20190902,23500,25150,23400,25000,796048
20190830,23300,23900,23050,23500,459847
20190829,23400,23600,22650,22850,282538
20190828,23350,23800,23000,23150,445829
20190827,23050,23350,22650,22750,223554
20190826,22850,23150,22300,22650,440724
20190823,22800,23700,22700,23500,431923
20190822,24500,24600,23200,23300,651523
20190821,24600,24950,24350,24350,315529
