,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,60300,60800,58600,59800,279751
20200730,61700,61800,59900,60100,215570
20200729,62100,63200,60400,61000,321958
20200728,61600,62100,60000,61800,261046
20200727,60600,62100,59600,61200,272597
20200724,61300,62500,59700,60600,475680
20200723,62300,64500,61200,63200,501349
20200722,63300,65000,62400,62800,471281
20200721,65000,65400,62600,63100,497251
20200720,62100,65000,60800,64400,884200
20200717,61100,62800,59500,61300,762480
20200716,59400,68300,58500,61300,4612546
20200715,51800,59500,50800,59300,2840787
20200714,49950,51600,49300,50600,453875
20200713,50300,50300,49300,50000,268494
20200710,49900,51700,48800,49650,540262
20200709,49350,49900,48350,49500,577747
20200708,46300,49850,46150,49450,1366750
20200707,46050,47950,46000,46450,550764
20200706,46100,46100,45100,45700,289121
20200703,47100,47100,45700,45850,266559
20200702,46200,47100,45250,46700,418169
20200701,47800,48350,45700,46150,582191
20200630,47600,48250,45100,47200,940872
20200629,44750,47350,44550,46750,1582592
20200626,41600,46850,41250,44350,3800353
20200625,40300,40450,39700,39800,131252
20200624,40300,41200,40250,40950,163312
20200623,40950,41300,40000,40300,117446
20200622,40900,41400,40450,40950,114537
20200619,41050,41100,39700,40850,112111
20200618,41400,41500,40150,40600,114342
20200617,39900,42450,39900,40850,316058
20200616,39050,40100,39000,39950,180398
20200615,40600,40950,38100,38100,291813
20200612,39050,41250,39050,41150,275558
20200611,43700,43950,42350,42700,268918
20200610,43550,44250,43350,44000,205445
20200609,44300,44550,43000,43400,206390
20200608,45100,45200,43550,43800,229888
20200605,45200,45500,44350,44800,249830
20200604,44000,45700,43900,44800,557254
20200603,44600,44700,43500,43700,228488
20200602,44450,44950,43850,44200,358038
20200601,43050,44850,42350,43650,654347
20200529,40450,43050,40050,43050,369726
20200528,43200,43450,40100,40900,437523
20200527,41300,44650,41300,42450,1390388
20200526,40900,41300,40200,41100,178014
20200525,40650,41100,40200,41000,160996
20200522,42150,42150,40300,40650,336837
20200521,40750,42700,40400,42200,632432
20200520,40250,40500,39800,40150,152225
20200519,39750,40250,39500,40250,228089
20200518,38850,40300,38450,39250,336126
20200515,40350,40500,39800,40100,126467
20200514,39600,40700,39550,40100,141151
20200513,40000,40250,39750,40200,172225
20200512,41250,41350,40050,40500,142933
20200511,42500,42550,41100,41250,179848
20200508,41850,42600,41500,42050,248085
20200507,40800,41250,40350,41250,175212
20200506,39450,40600,39450,40550,190557
20200504,38650,39650,38600,39000,117906
20200429,40200,40200,39300,39400,199033
20200428,40550,40800,39850,40150,159586
20200427,40650,41050,40200,40550,121082
20200424,41550,41700,40300,40450,204872
20200423,42750,42850,41700,41850,221024
20200422,40900,41950,40450,41950,190861
20200421,41650,42700,39750,41700,364232
20200420,42650,43150,41900,42050,250767
20200417,43000,43000,41600,42300,363280
20200416,40050,41800,39650,41800,471341
20200414,39250,40450,38750,40050,289296
20200413,39700,39700,38700,38700,212531
20200410,40500,40500,39200,40000,204612
20200409,41000,41150,39900,40200,240152
20200408,39850,41150,39100,40050,378817
20200407,41050,41300,39300,40050,380712
20200406,39550,40200,38950,40200,394144
20200403,39550,39850,38550,39400,386834
20200402,38900,39150,37100,38550,557516
20200401,35650,40400,35300,36950,1183587
20200331,36000,36000,34550,35450,315607
20200330,33450,35300,33200,35300,272392
20200327,36200,36600,34100,34900,499586
20200326,36000,36050,35000,35200,356080
20200325,36200,36600,34800,35650,444213
20200324,34650,35200,33550,35050,448522
20200323,34100,35100,32650,33500,407368
20200320,36150,36300,35000,35750,571273
20200319,36000,36150,33300,34350,794822
20200318,34050,36000,33000,33450,608562
20200317,29050,33400,29050,33400,623257
20200316,34050,34850,30900,30900,400395
20200313,33600,35450,29750,33400,581835
20200312,38300,38650,35500,36450,476358
20200311,38750,40600,38350,38950,610982
20200310,36500,38650,36350,38600,383608
20200309,39200,39850,37150,37350,317738
20200306,38600,41350,38250,40100,349235
20200305,39850,39900,38550,39350,272531
20200304,36500,38650,36500,38650,243341
20200303,38850,39400,37100,37250,294530
20200302,35700,37650,35350,37250,352589
20200228,37150,38500,35450,35700,438733
20200227,41000,41300,38400,38700,390509
20200226,40450,41450,40200,40900,273435
20200225,41200,42000,39950,42000,458577
20200224,41250,42900,41000,41300,431830
20200221,44000,45050,43500,43600,248896
20200220,45150,46000,44250,44700,271009
20200219,46000,46400,44500,45250,246955
20200218,47300,47350,45400,45600,364643
20200217,48250,48300,47150,47550,284631
20200214,47000,48600,46550,47950,439971
20200213,48900,49500,47100,47750,603013
20200212,46650,49450,46600,48150,1261445
20200211,43350,45450,43100,45450,380414
20200210,43250,43800,42750,43100,131511
20200207,44300,44300,43000,43250,215264
20200206,44400,44750,43550,44250,184772
20200205,45300,45500,44100,44200,199115
20200204,44100,44950,43300,44900,262594
20200203,41000,44550,40450,44100,410364
20200131,44300,44950,42500,42550,343848
20200130,46800,47200,44200,44400,320464
20200129,47000,47600,46200,46400,182702
20200128,47050,48400,46200,46550,442003
20200123,49300,50200,48650,49650,260072
20200122,49700,49700,48500,49300,293407
20200121,49300,50600,49100,49450,407158
20200120,49300,49600,48300,49250,505564
20200117,50300,51000,49800,50100,193806
20200116,49600,50400,49200,49700,115930
20200115,50300,50800,49500,49500,113776
20200114,49700,51400,49100,49900,236707
20200113,49600,50000,48600,49150,111604
20200110,49100,49600,48600,49600,182500
20200109,50100,50400,49300,49550,138938
20200108,49000,50200,47800,48650,245387
20200107,50300,50800,49500,49550,165580
20200106,49550,50900,49500,49900,232468
20200103,52400,52600,50300,51300,312510
20200102,50000,52500,49000,52300,326556
20191230,48650,49700,48100,49450,145135
20191227,47400,49300,47000,48650,249047
20191226,44000,48350,42950,46650,514604
20191224,42101,42981,42101,42501,202324
20191223,42741,43142,42181,42501,154629
20191220,41941,43302,41701,42981,221283
20191219,42021,42421,41221,41541,146772
20191218,43142,43622,42021,42021,215207
20191217,43302,43302,42421,42901,145179
20191216,41541,43462,41301,42821,330474
20191213,42101,42101,40580,41301,292124
20191212,43622,43622,41621,41621,687602
20191211,41381,43542,41061,43142,427764
