,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,38050,38050,37350,37400,46831
20200730,38800,38850,37650,38050,49966
20200729,38000,38800,37900,38200,40207
20200728,38750,38750,37850,37950,47059
20200727,38050,38800,37600,38300,47588
20200724,38650,38650,37550,38100,95392
20200723,40200,40350,38450,39200,136583
20200722,40650,41100,40000,40200,63325
20200721,41000,41150,40050,40400,69741
20200720,40950,41350,40200,40550,68606
20200717,41300,41850,40050,40900,74814
20200716,42600,44250,41000,41500,181082
20200715,42400,43950,41450,42600,193764
20200714,42400,42700,41500,41700,101297
20200713,43000,43450,42300,42750,105139
20200710,43450,44300,42650,42700,178348
20200709,43600,44700,42700,43700,427617
20200708,39050,42400,38750,42000,454077
20200707,38000,39200,37800,37900,96934
20200706,38700,38700,37700,37850,92851
20200703,37800,37800,36750,37000,39801
20200702,36200,37750,35950,37550,106131
20200701,37650,37900,35800,36200,77056
20200630,38350,38450,36000,37650,124012
20200629,36000,38100,35500,37900,218271
20200626,34300,37000,34150,36400,263202
20200625,34000,34250,33150,33800,33783
20200624,34000,34450,33400,34400,53417
20200623,33600,34150,33050,33550,41385
20200622,33700,33750,33100,33500,35417
20200619,32750,33700,32700,33700,56273
20200618,33950,33950,32500,32750,46843
20200617,32650,34600,32450,33300,75495
20200616,32500,33350,32200,33050,91228
20200615,34500,34750,31100,31700,147139
20200612,33000,35150,32150,34900,109610
20200611,37200,37200,36050,36150,50883
20200610,37350,37650,36850,37200,59457
20200609,36500,37600,36000,37600,101444
20200608,36700,37150,36000,36200,62460
20200605,36700,36750,35800,35950,69432
20200604,37150,37450,36550,36750,57335
20200603,38100,38400,36950,37150,71536
20200602,37300,38400,36900,37600,78746
20200601,37100,37850,36700,37200,117422
20200529,38000,45100,36500,36500,734896
20200528,38100,38600,35400,37700,152139
20200527,39700,40000,37800,37800,136897
20200526,38300,39100,37000,38500,122988
20200525,36900,38300,36700,38300,194766
20200522,36150,36800,34950,36700,219959
20200521,31500,38800,31200,35350,1075980
