,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,52600,53700,51700,52800,111164
20200730,52900,52900,51600,52600,89755
20200729,53200,53800,52000,52300,124508
20200728,52600,53200,51700,53200,103747
20200727,51200,53300,51100,52600,109821
20200724,52600,53600,51300,52000,210459
20200723,54900,55500,53600,53900,166195
20200722,54800,56400,54200,54900,351725
20200721,55200,55200,53600,54200,172734
20200720,53400,55000,53100,54600,332114
20200717,53000,53300,51700,52900,178562
20200716,55000,55700,52100,53300,505986
20200715,53100,54800,52600,54500,652961
20200714,52100,53300,51400,52600,337818
20200713,50800,52900,50400,52700,411646
20200710,50500,51400,49850,50100,223652
20200709,50800,50900,49650,50400,215044
20200708,48700,50900,48450,50300,309516
20200707,47950,49800,47950,48450,261594
20200706,48500,48500,47150,47700,162217
20200703,49300,49350,48100,48300,177724
20200702,48650,49550,48000,49250,138784
20200701,49900,50600,48500,48600,191200
20200630,51400,51400,48850,50000,288231
20200629,50700,51800,49500,50300,358059
20200626,49100,52700,48650,50300,1032869
20200625,48000,48800,46800,48350,230016
20200624,46200,49200,45250,48900,366138
20200623,47250,47250,45750,45800,117266
20200622,46650,47350,46000,46700,120267
20200619,47250,47250,45200,46700,98475
20200618,46750,47600,46050,46200,120788
20200617,44750,47950,44750,46050,364991
20200616,44300,44800,43300,44600,192452
20200615,47200,47250,43200,43250,290127
20200612,46400,47700,46150,47250,243333
20200611,50300,50400,48700,49200,247500
20200610,50000,51100,49700,50200,189440
20200609,49800,50500,49450,49950,112873
20200608,50800,50800,49500,49700,158359
20200605,51000,51100,50100,50500,99244
20200604,50400,51700,50000,50500,189195
20200603,51700,51700,49600,49950,219469
20200602,51500,52000,50400,51200,140991
20200601,49650,51600,49650,50800,212695
20200529,49900,50500,48550,49650,208506
20200528,53100,53200,49350,50200,395048
20200527,53600,55600,52000,52700,420843
20200526,53900,54400,52300,53400,325973
20200525,52900,54000,52100,53900,414509
20200522,55300,55500,51600,52300,778559
20200521,51300,56100,50400,56000,1398603
20200520,49300,50700,49100,50000,209638
20200519,48550,49950,47450,49650,490048
20200518,48800,48800,47000,47700,208678
20200515,48800,49300,47850,48200,150256
20200514,49900,50500,47800,48150,307116
20200513,49700,51300,49200,50600,344085
20200512,50100,50800,49000,49700,266177
20200511,51200,51500,50000,50300,192051
20200508,50700,53400,50300,51100,511651
20200507,50800,50800,49350,49950,208433
20200506,50900,51100,49650,50600,196357
20200504,49050,51100,49000,50100,200799
20200429,51400,51400,49900,50200,237376
20200428,51700,52000,50600,51200,195972
20200427,52500,52700,50200,51600,274309
20200424,51500,53500,51000,51800,387222
20200423,53000,54100,51500,52500,410716
20200422,50300,51800,49950,51800,419866
20200421,48250,52000,47150,51300,1096668
20200420,48700,50700,47950,48550,374238
20200417,48300,49550,47100,48900,729368
20200416,44900,48900,44150,47950,1051346
20200414,39900,44950,39850,44950,1164969
20200413,40750,40950,39100,39100,225998
